iter	Passed	Remaining
0	190	133064
1	363	126789
2	546	126983
3	733	127620
4	919	127825
5	1105	127877
6	1275	126251
7	1459	126211
8	1643	126160
9	1823	125804
10	2005	125640
11	2179	124940
12	2374	125457
13	2548	124897
14	2731	124760
15	2903	124117
16	3090	124159
17	3273	124022
18	3457	123914
19	3628	123364
20	3800	122886
21	3981	122691
22	4165	122598
23	4346	122439
24	4534	122430
25	4706	122005
26	4877	121576
27	5056	121354
28	5236	121159
29	5405	120732
30	5592	120682
31	5763	120313
32	5938	120034
33	6120	119897
34	6302	119748
35	6475	119435
36	6659	119333
37	6844	119235
38	7016	118920
39	7188	118613
40	7372	118497
41	7544	118204
42	7728	118086
43	7907	117887
44	8106	117993
45	8300	118017
46	8485	117896
47	8671	117782
48	8843	117490
49	9015	117197
50	9188	116925
51	9370	116767
52	9551	116605
53	9737	116484
54	9911	116235
55	10101	116162
56	10279	115958
57	10463	115823
58	10644	115647
59	10816	115372
60	10989	115119
61	11179	115037
62	11350	114763
63	11515	114438
64	11698	114288
65	11881	114129
66	12063	113976
67	12250	113854
68	12426	113641
69	12604	113437
70	12777	113196
71	12948	112935
72	13129	112769
73	13315	112640
74	13485	112379
75	13660	112160
76	13847	112035
77	14027	111864
78	14208	111691
79	14381	111455
80	14553	111219
81	14735	111053
82	14918	110900
83	15095	110701
84	15279	110549
85	15462	110393
86	15638	110191
87	15812	109967
88	15995	109814
89	16186	109709
90	16369	109549
91	16550	109377
92	16733	109217
93	16920	109081
94	17105	108935
95	17278	108708
96	17459	108536
97	17638	108352
98	17823	108201
99	18009	108059
100	18196	107915
101	18372	107711
102	18549	107515
103	18732	107351
104	18905	107132
105	19079	106917
106	19264	106765
107	19447	106598
108	19630	106436
109	19810	106254
110	19994	106096
111	20190	106000
112	20380	105870
113	20568	105727
114	20761	105610
115	20944	105445
116	21115	105217
117	21287	104996
118	21458	104766
119	21641	104598
120	21813	104382
121	21995	104205
122	22177	104035
123	22351	103826
124	22522	103601
125	22704	103431
126	22888	103267
127	23059	103048
128	23230	102828
129	23409	102639
130	23587	102454
131	23772	102295
132	23958	102140
133	24143	101978
134	24323	101799
135	24497	101594
136	24680	101422
137	24846	101184
138	25025	101002
139	25212	100851
140	25393	100673
141	25563	100454
142	25744	100278
143	25923	100092
144	26110	99938
145	26307	99825
146	26481	99620
147	26661	99441
148	26848	99285
149	27021	99077
150	27238	99033
151	27421	98862
152	27605	98694
153	27767	98446
154	27960	98311
155	28151	98170
156	28340	98018
157	28521	97838
158	28698	97646
159	28880	97470
160	29057	97277
161	29235	97089
162	29413	96903
163	29579	96672
164	29750	96465
165	29923	96260
166	30091	96040
167	30273	95865
168	30450	95676
169	30617	95455
170	30798	95276
171	30975	95088
172	31170	94951
173	31365	94818
174	31563	94690
175	31761	94562
176	31950	94408
177	32137	94245
178	32321	94075
179	32521	93950
180	32697	93757
181	32869	93550
182	33052	93378
183	33232	93195
184	33401	92983
185	33582	92804
186	33755	92602
