battle_turn,pikachu_hp
Round 1828 - Turn 00:00,41.05262218873944
Round 1828 - Turn 01:00,9.536603736333753
Round 1828 - Turn 02:00,67.3348382225559
Round 1828 - Turn 03:00,55.03648533197508
Round 1828 - Turn 04:00,71.92896931047936
Round 1828 - Turn 05:00,40.29447116870921
Round 1828 - Turn 06:00,32.63724112751549
Round 1828 - Turn 07:00,12.823755256583818
Round 1828 - Turn 08:00,30.979535835442135
Round 1828 - Turn 09:00,33.61199725382496
Round 1828 - Turn 10:00,14.473982255778811
Round 1828 - Turn 11:00,13.537558730647865
Round 1828 - Turn 12:00,19.70078005977367
Round 1828 - Turn 13:00,10.214020773293235
Round 1828 - Turn 14:00,12.806989487010934
Round 1828 - Turn 15:00,11.499624010961785
Round 1828 - Turn 16:00,50.392973225199285
Round 1828 - Turn 17:00,28.997115637454094
Round 1828 - Turn 18:00,9.508449278854586
Round 1828 - Turn 19:00,13.164472808961941
Round 1828 - Turn 20:00,16.466327958358736
Round 1828 - Turn 21:00,11.492283122482611
Round 1828 - Turn 22:00,72.0467337330373
Round 1828 - Turn 23:00,71.03723028298401
Round 1829 - Turn 00:00,13.814786975581862
Round 1829 - Turn 01:00,53.1220266387787
Round 1829 - Turn 02:00,47.66417520505894
Round 1829 - Turn 03:00,12.28562935848997
Round 1829 - Turn 04:00,69.23252144980219
Round 1829 - Turn 05:00,22.88561243852508
Round 1829 - Turn 06:00,26.562382134440465
Round 1829 - Turn 07:00,10.751169179363112
Round 1829 - Turn 08:00,49.878010498554026
Round 1829 - Turn 09:00,35.898151535243485
Round 1829 - Turn 10:00,9.616628852808928
Round 1829 - Turn 11:00,55.63962490121699
Round 1829 - Turn 12:00,15.025270513358212
Round 1829 - Turn 13:00,27.94621236999367
Round 1829 - Turn 14:00,9.93860952802463
Round 1829 - Turn 15:00,69.52603337864309
Round 1829 - Turn 16:00,67.32665681902152
Round 1829 - Turn 17:00,13.197600853848842
Round 1829 - Turn 18:00,21.813666590677137
Round 1829 - Turn 19:00,13.996656993659425
Round 1829 - Turn 20:00,33.834479573869245
Round 1829 - Turn 21:00,25.826558388705465
Round 1829 - Turn 22:00,23.8396071254506
Round 1829 - Turn 23:00,10.878497487801669
Round 1830 - Turn 00:00,62.63508474213299
Round 1830 - Turn 01:00,50.38597363341386
Round 1830 - Turn 02:00,38.78266435323056
Round 1830 - Turn 03:00,41.923616777365076
Round 1830 - Turn 04:00,22.884346094042296
Round 1830 - Turn 05:00,13.361053206494766
Round 1830 - Turn 06:00,18.89584616913717
Round 1830 - Turn 07:00,58.48134531321053
Round 1830 - Turn 08:00,46.49469597450228
Round 1830 - Turn 09:00,44.09639568268638
Round 1830 - Turn 10:00,13.393711130947185
Round 1830 - Turn 11:00,10.527127196595544
Round 1830 - Turn 12:00,40.86544769732786
Round 1830 - Turn 13:00,17.13050419159724
Round 1830 - Turn 14:00,11.520823259542922
Round 1830 - Turn 15:00,55.97690125562647
Round 1830 - Turn 16:00,20.050701942481766
Round 1830 - Turn 17:00,14.026221877769537
Round 1830 - Turn 18:00,21.021641032430296
Round 1830 - Turn 19:00,12.218162589760626
Round 1830 - Turn 20:00,32.92930791049336
Round 1830 - Turn 21:00,27.257422461686158
Round 1830 - Turn 22:00,18.049032590073367
Round 1830 - Turn 23:00,46.11516545841263
Round 1831 - Turn 00:00,11.886616103822032
Round 1831 - Turn 01:00,11.090084936766646
Round 1831 - Turn 02:00,56.34323525756928
Round 1831 - Turn 03:00,19.72785140802378
Round 1831 - Turn 04:00,8.5933964644078
Round 1831 - Turn 05:00,18.794101769270664
Round 1831 - Turn 06:00,14.846498373566494
Round 1831 - Turn 07:00,70.8055227037368
Round 1831 - Turn 08:00,47.66047081013816
Round 1831 - Turn 09:00,27.056464516376774
Round 1831 - Turn 10:00,13.327882565212875
Round 1831 - Turn 11:00,73.07980739100121
Round 1831 - Turn 12:00,23.052048489682715
Round 1831 - Turn 13:00,10.822121485138911
Round 1831 - Turn 14:00,33.952598206917486
Round 1831 - Turn 15:00,36.5563271177427
Round 1831 - Turn 16:00,17.657848708361943
Round 1831 - Turn 17:00,26.029326118644846
Round 1831 - Turn 18:00,15.915080870629382
Round 1831 - Turn 19:00,40.84168132885908
Round 1831 - Turn 20:00,13.070946681831982
Round 1831 - Turn 21:00,57.98239366194085
Round 1831 - Turn 22:00,39.028263531714515
Round 1831 - Turn 23:00,13.998549957727517
Round 1832 - Turn 00:00,70.08882039660433
Round 1832 - Turn 01:00,67.74686053471885
Round 1832 - Turn 02:00,31.399187719006715
Round 1832 - Turn 03:00,28.571580599262298
Round 1832 - Turn 04:00,9.953124492600839
Round 1832 - Turn 05:00,15.556280272541912
Round 1832 - Turn 06:00,57.46240727063386
Round 1832 - Turn 07:00,56.33125722913745
Round 1832 - Turn 08:00,64.66372435087565
Round 1832 - Turn 09:00,15.441343205760361
Round 1832 - Turn 10:00,62.505212696403134
Round 1832 - Turn 11:00,14.167259430969334
Round 1832 - Turn 12:00,27.258432552513778
