battle_turn,opponent_pokemon,opponent_type,move_used,move_type,move_category,weather_condition,pikachu_status,terrain_type,held_item,pikachu_ability,opponent_level,pikachu_level,move_power,attack_stat,defense_stat,sp_attack_stat,sp_defense_stat,speed_stat_pikachu,speed_stat_opponent,attack_stage,defense_stage,speed_stage,type_effectiveness,critical_hit,move_hit,friendship_level,experience_points,healing_applied,damage_dealt,previous_hp,max_hp,pikachu_hp,round,turn,trainer_focus_score
Round 1 - Turn 00:00,Charizard,Fire,Thunderbolt,Electric,Special,Clear,,Grassy Terrain,Sitrus Berry,Static,27,26,90,,37,29,43,48,29,0,0,0,,0,1,133,2101,0,25,54,54,54,1,0,98.6
Round 1 - Turn 01:00,Dragonite,Dragon,Electro Ball,Electric,Special,Clear,Paralyzed,Electric Terrain,Sitrus Berry,Static,32,26,80,34,26,39,49,55,25,0,-1,0,0.5,0,1,112,2989,0,25,31,54,11,1,1,27.7
Round 1 - Turn 02:00,Steelix,Steel,Quick Attack,Electric,Physical,Rain,,,,Lightning Rod,24,26,40,30,31,33,38,46,47,-1,1,0,1,0,1,168,1926,0,10,7,54,12,1,2,39.4
Round 1 - Turn 03:00,Charizard,Fire,Iron Tail,Electric,Physical,Sandstorm,,Misty Terrain,,Static,28,26,100,37,,27,42,54,65,0,0,-1,,0,1,147,1825,0,65,54,54,0,1,3,21.5
Round 1 - Turn 04:00,Alakazam,Psychic,Quick Attack,Electric,Physical,Clear,,Misty Terrain,,Static,22,26,40,36,28,40,39,56,63,0,0,0,1,0,1,127,1875,0,20,,54,29,1,4,66.8
Round 1 - Turn 05:00,Charizard,Fire,Volt Tackle,Electric,Physical,Electric Terrain,,Grassy Terrain,,Static,25,26,120,42,,,33,51,36,0,1,1,1,0,1,158,3181,0,40,34,54,15,1,5,35.5
Round 1 - Turn 06:00,Venusaur,Grass,Agility,Electric,Status,Clear,,Grassy Terrain,,Static,28,26,0,34,40,37,38,49,56,0,0,,1,0,1,163,2615,0,0,54,54,54,1,6,100
Round 1 - Turn 07:00,Blastoise,Water,Iron Tail,Electric,Physical,Electric Terrain,,Electric Terrain,Assault Vest,Static,24,26,100,33,33,37,25,50,42,-2,1,0,2,0,1,85,4356,0,35,54,54,47,1,7,81.5
Round 1 - Turn 08:00,Alakazam,,Quick Attack,Electric,Physical,Rain,,,Light Ball,Lightning Rod,22,26,40,42,21,40,36,54,52,0,0,1,1,0,1,,,0,30,18,,31,1,8,59.3
Round 1 - Turn 09:00,Dragonite,Dragon,Agility,Electric,Status,Clear,,,Light Ball,Static,30,26,0,30,26,29,34,47,69,1,0,0,1,0,1,134,0,0,0,54,54,54,1,9,97.7
Round 1 - Turn 10:00,Vaporeon,Water,Agility,Electric,Status,Clear,,Electric Terrain,Assault Vest,Static,20,26,0,28,26,29,29,47,45,2,1,-1,1,0,1,138,2724,0,0,54,54,54,1,10,95.8
Round 1 - Turn 11:00,Machamp,Fighting,Thunderbolt,Electric,Special,Sun,,,Light Ball,Static,27,26,90,29,,39,37,52,49,1,1,0,1,0,,81,2444,0,35,54,54,11,1,11,38.3
Round 1 - Turn 12:00,Dragonite,Dragon,Quick Attack,,Physical,Sun,Paralyzed,Misty Terrain,Sitrus Berry,Static,21,26,40,34,27,36,30,60,51,-1,1,0,0.5,0,1,232,2581,0,5,17,54,2,1,12,12.8
Round 1 - Turn 13:00,Dragonite,Dragon,Iron Tail,Electric,Physical,,,,,Static,31,,100,28,43,36,34,55,72,0,0,0,0.5,0,1,132,,0,10,12,54,0,1,13,15.6
Round 1 - Turn 14:00,Dragonite,Dragon,Thunderbolt,Electric,Special,Clear,,,Assault Vest,Static,33,26,90,29,31,36,33,54,32,0,-2,0,0.5,0,1,150,2822,0,35,1,54,0,1,14,19.9
Round 1 - Turn 15:00,Charizard,Fire,Iron Tail,Electric,Physical,Rain,Paralyzed,Electric Terrain,,Lightning Rod,26,26,100,38,35,36,44,59,60,0,0,0,1,0,1,165,938,0,50,,54,0,1,15,5.4
Round 1 - Turn 16:00,Vaporeon,Water,Agility,Electric,Status,Clear,,Grassy Terrain,Assault Vest,Static,20,26,0,34,20,40,21,49,10,1,-2,0,1,0,1,158,1043,0,0,4,54,0,1,16,11.5
Round 1 - Turn 17:00,Steelix,Steel,Thunderbolt,Electric,Special,Electric Terrain,,,,Static,28,26,90,28,41,37,39,51,38,0,1,0,1,0,1,85,2303,0,20,4,54,0,1,17,12.7
Round 1 - Turn 18:00,Machamp,Fighting,Agility,Electric,Status,Clear,Paralyzed,,Light Ball,Static,26,26,0,42,26,31,42,52,41,0,0,1,1,0,1,102,3515,0,0,54,54,18,1,18,34.7
Round 1 - Turn 19:00,Blastoise,Water,Agility,Electric,Status,Clear,,Grassy Terrain,Light Ball,Static,,26,0,29,36,37,52,49,10,2,0,0,1,0,1,116,2891,0,0,54,54,12,1,19,31
Round 1 - Turn 20:00,Onix,Rock,Nuzzle,Normal,Physical,,,Electric Terrain,Assault Vest,Lightning Rod,17,26,20,38,28,33,34,49,13,-1,0,-2,0.5,0,1,137,2489,0,5,54,54,26,1,20,63.8
Round 1 - Turn 21:00,,Water,Nuzzle,Normal,Physical,Hail,,,,Static,28,26,20,42,38,33,46,49,69,0,0,0,2,0,1,124,1498,0,15,51,54,0,1,21,19.3
Round 1 - Turn 22:00,Skarmory,Steel,Electro Ball,Electric,Special,Sandstorm,,,,Lightning Rod,29,26,80,28,28,36,42,54,67,0,0,0,1,0,0,140,2490,0,0,37,54,0,1,22,11.8
Round 1 - Turn 23:00,Alakazam,Psychic,Thunderbolt,Electric,Special,Clear,,Electric Terrain,,Static,21,26,90,31,25,32,36,60,85,1,0,0,1,0,1,95,3766,0,55,37,54,0,1,23,20
